uniqueSampleKey,uniquePatientKey,molecularProfileId,sampleId,patientId,entrezGeneId,studyId,alteration
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",174,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",29886,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",55501,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",8662,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",84820,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",285955,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",401331,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",255031,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",28988,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",5224,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",27434,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",165,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",100616346,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",5425,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",100873488,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",58498,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",2645,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",10652,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",816,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",54212,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",137902,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",6811,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",54663,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",23642,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",6330,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",6327,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",120425,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",196264,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",10205,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",916,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",915,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",917,"acc_tcga",2
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh","acc_tcga_gistic","TCGA-OR-A5J1-01","TCGA-OR-A5J1",9354,"acc_tcga",2
