uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
"VENHQS1PUi1BNUxDLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxDOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LC-01","TCGA-OR-A5LC","acc_tcga",32.5373
"VENHQS1PUi1BNUxELTAxOmFjY190Y2dh","VENHQS1PUi1BNUxEOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LD-01","TCGA-OR-A5LD","acc_tcga",36.635
"VENHQS1PUi1BNUxFLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxFOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LE-01","TCGA-OR-A5LE","acc_tcga",7.3804
"VENHQS1PUi1BNUxHLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxHOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LG-01","TCGA-OR-A5LG","acc_tcga",53.6913
"VENHQS1PUi1BNUxILTAxOmFjY190Y2dh","VENHQS1PUi1BNUxIOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LH-01","TCGA-OR-A5LH","acc_tcga",21.7656
"VENHQS1PUi1BNUxKLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxKOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LJ-01","TCGA-OR-A5LJ","acc_tcga",138.4344
"VENHQS1PUi1BNUxLLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxLOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LK-01","TCGA-OR-A5LK","acc_tcga",1347.1017
"VENHQS1PUi1BNUxMLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxMOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LL-01","TCGA-OR-A5LL","acc_tcga",10.7672
"VENHQS1PUi1BNUxNLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxNOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LM-01","TCGA-OR-A5LM","acc_tcga",19.7268
"VENHQS1PUi1BNUxOLTAxOmFjY190Y2dh","VENHQS1PUi1BNUxOOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5LN-01","TCGA-OR-A5LN","acc_tcga",46.2428
